event_id,timestamp,ts_epoch,delta_ms_prev,event_type,x,y,dx,dy,distance_px,scroll_dx,scroll_dy,button
1,2026-03-26T18:42:08.576419Z,1774550528.576419,,move,409.11,585.88,0.0,0.0,0.0,,,
2,2026-03-26T18:42:08.576958Z,1774550528.576958,0.54,move,406.71,589.72,-2.4,3.84,4.53,,,
3,2026-03-26T18:42:08.584413Z,1774550528.5844128,7.45,move,405.01,592.27,-6.37,9.74,11.64,,,
4,2026-03-26T18:42:08.592374Z,1774550528.592374,7.96,move,403.74,595.25,-1.27,2.97,3.24,,,
5,2026-03-26T18:42:08.600595Z,1774550528.600595,8.22,move,401.94,598.84,-1.79,3.59,4.01,,,
6,2026-03-26T18:42:08.608672Z,1774550528.608672,8.08,move,400.58,602.46,-1.36,3.62,3.87,,,
7,2026-03-26T18:42:08.621614Z,1774550528.621614,12.94,move,399.22,606.08,-1.36,3.62,3.87,,,
8,2026-03-26T18:42:08.625008Z,1774550528.625008,3.39,move,397.78,610.41,-1.44,4.33,4.56,,,
9,2026-03-26T18:42:08.633448Z,1774550528.633448,8.44,move,396.88,614.03,-0.91,3.62,3.73,,,
10,2026-03-26T18:42:08.641827Z,1774550528.641827,8.38,move,395.92,618.35,-0.96,4.33,4.43,,,
11,2026-03-26T18:42:08.649520Z,1774550528.6495202,7.69,move,395.44,622.68,-0.48,4.33,4.35,,,
12,2026-03-26T18:42:08.658673Z,1774550528.6586728,9.15,move,394.95,627.0,-0.48,4.33,4.35,,,
13,2026-03-26T18:42:08.682222Z,1774550528.6822221,23.55,move,394.95,628.85,0.0,1.85,1.85,,,
14,2026-03-26T18:42:08.682419Z,1774550528.682419,0.2,move,394.95,632.47,0.0,3.62,3.62,,,
15,2026-03-26T18:42:08.682769Z,1774550528.6827688,0.35,move,394.95,635.42,0.0,2.95,2.95,,,
16,2026-03-26T18:42:08.690493Z,1774550528.6904929,7.72,move,394.95,638.39,0.0,2.97,2.97,,,
17,2026-03-26T18:42:08.698424Z,1774550528.698424,7.93,move,394.95,640.24,0.0,1.85,1.85,,,
18,2026-03-26T18:42:08.707871Z,1774550528.707871,9.45,move,394.95,642.07,0.0,1.83,1.83,,,
19,2026-03-26T18:42:08.715025Z,1774550528.715025,7.15,move,394.95,643.44,0.0,1.37,1.37,,,
20,2026-03-26T18:42:08.723437Z,1774550528.723437,8.41,move,394.95,644.8,0.0,1.37,1.37,,,
