segment_id,family,start_at,end_at,start_ts_epoch,end_ts_epoch,duration_ms,event_count,move_distance_px,click_down_count,click_up_count,scroll_event_count,avg_x,avg_y
1,scroll,2026-03-26T19:11:38.120771Z,2026-03-26T19:11:38.350740Z,1774552298.1207712,1774552298.35074,229.97,17,0.0,0,0,17,581.98,465.12
2,scroll,2026-03-26T19:11:38.851050Z,2026-03-26T19:11:39.471025Z,1774552298.85105,1774552299.471025,619.98,25,0.0,0,0,25,581.98,465.12
3,scroll,2026-03-26T19:11:39.987892Z,2026-03-26T19:11:39.987892Z,1774552299.987892,1774552299.987892,0.0,1,0.0,0,0,1,581.98,465.12
4,scroll,2026-03-26T19:11:40.852401Z,2026-03-26T19:11:42.376354Z,1774552300.8524008,1774552302.376354,1523.95,61,0.0,0,0,61,581.98,465.12
5,move,2026-03-26T19:11:42.420467Z,2026-03-26T19:11:42.895743Z,1774552302.420467,1774552302.895743,475.28,59,363.65,0,0,0,426.65,273.27
6,click,2026-03-26T19:11:42.978948Z,2026-03-26T19:11:43.105553Z,1774552302.978948,1774552303.105553,126.6,2,0.0,1,1,0,413.22,197.66
7,move,2026-03-26T19:11:43.346741Z,2026-03-26T19:11:43.871771Z,1774552303.346741,1774552303.8717709,525.03,43,142.59,0,0,0,400.87,99.04
8,click,2026-03-26T19:11:43.941354Z,2026-03-26T19:11:43.941354Z,1774552303.941354,1774552303.941354,0.0,1,0.0,1,0,0,397.8,63.17
9,move,2026-03-26T19:11:43.942107Z,2026-03-26T19:11:44.606798Z,1774552303.942107,1774552304.6067982,664.69,25,23.95,0,0,0,399.91,49.1
10,click,2026-03-26T19:11:44.643939Z,2026-03-26T19:11:44.643939Z,1774552304.643939,1774552304.643939,0.0,1,0.0,0,1,0,398.42,40.41
11,move,2026-03-26T19:11:44.644054Z,2026-03-26T19:11:45.139134Z,1774552304.644054,1774552305.139134,495.08,35,270.53,0,0,0,429.42,194.84
12,scroll,2026-03-26T19:11:45.454620Z,2026-03-26T19:11:46.154773Z,1774552305.45462,1774552306.154773,700.15,39,0.0,0,0,39,447.27,295.57
13,scroll,2026-03-26T19:11:46.621566Z,2026-03-26T19:11:47.472058Z,1774552306.621566,1774552307.472058,850.49,15,0.0,0,0,15,447.27,295.57
14,scroll,2026-03-26T19:11:47.940344Z,2026-03-26T19:11:49.089547Z,1774552307.940344,1774552309.089547,1149.2,47,0.0,0,0,47,447.27,295.57
