frame_id,captured_at,window_start_at,window_end_at,event_count,intent,relationship_label,cursor_x,cursor_y,app,window,screenshot_path,screenshot_exists
1,2026-03-26T19:19:09.487534Z,2026-03-26T19:19:09.487126Z,2026-03-26T19:19:09.487534Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000001-20260326-191909-487534.png,False
2,2026-03-26T19:19:10.487461Z,2026-03-26T19:19:09.487534Z,2026-03-26T19:19:10.487461Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000002-20260326-191910-487461.png,False
3,2026-03-26T19:19:11.488461Z,2026-03-26T19:19:10.487461Z,2026-03-26T19:19:11.488461Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000003-20260326-191911-488461.png,True
4,2026-03-26T19:19:12.487425Z,2026-03-26T19:19:11.488461Z,2026-03-26T19:19:12.487425Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000004-20260326-191912-487425.png,True
5,2026-03-26T19:19:13.488320Z,2026-03-26T19:19:12.487425Z,2026-03-26T19:19:13.488320Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000005-20260326-191913-488320.png,True
6,2026-03-26T19:19:14.579224Z,2026-03-26T19:19:13.488320Z,2026-03-26T19:19:14.579224Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000006-20260326-191914-579224.png,True
7,2026-03-26T19:19:15.843688Z,2026-03-26T19:19:14.579224Z,2026-03-26T19:19:15.843688Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000007-20260326-191915-843688.png,True
8,2026-03-26T19:19:16.725583Z,2026-03-26T19:19:15.843688Z,2026-03-26T19:19:16.725583Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000008-20260326-191916-725583.png,True
9,2026-03-26T19:19:17.487503Z,2026-03-26T19:19:16.725583Z,2026-03-26T19:19:17.487503Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000009-20260326-191917-487503.png,True
10,2026-03-26T19:19:18.917973Z,2026-03-26T19:19:17.487503Z,2026-03-26T19:19:18.917973Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000010-20260326-191918-917973.png,True
11,2026-03-26T19:19:19.536808Z,2026-03-26T19:19:18.917973Z,2026-03-26T19:19:19.536808Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000011-20260326-191919-536808.png,True
12,2026-03-26T19:19:20.487676Z,2026-03-26T19:19:19.536808Z,2026-03-26T19:19:20.487676Z,0,idle,cursor_idle_or_hover,127.68,687.88,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000012-20260326-191920-487676.png,True
13,2026-03-26T19:19:21.487615Z,2026-03-26T19:19:20.487676Z,2026-03-26T19:19:21.487615Z,124,click_interaction,cursor_triggered_action,304.39,703.35,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000013-20260326-191921-487615.png,True
14,2026-03-26T19:19:25.180322Z,2026-03-26T19:19:21.487615Z,2026-03-26T19:19:25.180322Z,0,idle,cursor_idle_or_hover,304.39,703.35,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000014-20260326-191925-180322.png,True
15,2026-03-26T19:19:26.180850Z,2026-03-26T19:19:25.180322Z,2026-03-26T19:19:26.180850Z,0,idle,cursor_idle_or_hover,304.39,703.35,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000015-20260326-191926-180850.png,True
16,2026-03-26T19:19:27.180416Z,2026-03-26T19:19:26.180850Z,2026-03-26T19:19:27.180416Z,0,idle,cursor_idle_or_hover,304.39,703.35,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000016-20260326-191927-180416.png,True
17,2026-03-26T19:19:28.180413Z,2026-03-26T19:19:27.180416Z,2026-03-26T19:19:28.180413Z,0,idle,cursor_idle_or_hover,304.39,703.35,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191909/screenshots/frame-000017-20260326-191928-180413.png,True
