TNF Codebase Word/Term Frequency Count
============================================================
Generated: 2026-07-25T12:24:40Z
Files indexed: 64091
Text size: 668.1 MB
Unique terms: 1410217
Total occurrences: 73158124
Skipped (binary): 11522, (too large): 139
Elapsed: 661.1s

Top 200 most frequent:
Term                                           Count
----------------------------------------------------
n                                            1953538
e                                            1832386
t                                            1617635
this                                          837725
a                                             830610
n-                                            812043
r                                             809989
return                                        705863
i                                             546943
s                                             544362
function                                      525931
to                                            520580
o                                             452208
if                                            442148
const                                         434945
the                                           423516
for                                           416538
and                                           348039
in                                            332245
c                                             325467
l                                             293216
d                                             283361
with                                          280910
null                                          280760
var                                           273101
type                                          257052
Z                                             249793
handoff                                       240837
u                                             239769
id                                            234623
is                                            212214
new                                           211460
from                                          210817
of                                            208758
name                                          208561
com                                           208057
m                                             205821
f                                             197677
md                                            196567
p                                             189472
src                                           180479
h                                             179733
k                                             172732
js                                            159057
message                                       155575
default                                       153426
file                                          153182
g                                             152701
agent                                         152033
length                                        144228
TNF                                           143375
value                                         143052
not                                           139010
as                                            138972
Users                                         135155
danielgoldberg                                132272
div                                           131113
string                                        129138
true                                          126829
b                                             122959
let                                           122772
index                                         121035
https                                         120733
error                                         118844
uid                                           118808
await                                         117642
v                                             117436
cron                                          115096
y                                             114847
Object                                        113685
data                                          113501
main                                          112522
manual                                        111273
validation                                    109903
className                                     107626
false                                         107371
void                                          105878
A                                             105457
no                                            104446
path                                          102177
x                                             101713
on                                             99528
status                                         96272
or                                             95841
registry                                       95296
json                                           93576
I                                              93019
that                                           91297
matrix                                         90361
The                                            90172
w                                              89191
it                                             88816
COMPLETED                                      88090
px                                             87676
case                                           87396
description                                    87273
typeof                                         86666
source                                         86619
xsd                                            86440
context                                        84967
use                                            84805
openclaw                                       82878
url                                            81686
async                                          81262
class                                          81206
ts                                             79981
workspace                                      78152
whodaniel                                      77315
children                                       77275
text                                           77155
E                                              75823
node_modules                                   74470
get                                            74001
files                                          73530
throw                                          72847
Data                                           72773
Cloudflare                                     72095
title                                          71994
you                                            71036
_                                              69930
state                                          68156
createElement                                  67872
S                                              67849
Messages                                       67840
mbox                                           66960
emlx                                           66838
FA3C7CB-F1A8-4870-A951-5DE763EC0629            66830
T                                              66152
code                                           64793
C                                              64435
rs                                             64420
run                                            64330
import                                         64281
cargo                                          64266
crates                                         64205
io-1949cf8c6b5b557f                            64199
jsx                                            63631
content                                        62437
be                                             61452
Error                                          61446
version                                        60175
packet                                         60165
all                                            59933
ID                                             59855
target                                         59286
yahoo                                          58720
No                                             58271
number                                         58266
IMPLEMENTED                                    57436
N                                              57321
Validation                                     55715
Desktop                                        55117
call                                           54636
PR                                             54467
log                                            54426
metadata                                       53573
memory                                         53330
Math                                           53150
else                                           52886
found                                          52077
at                                             51914
z                                              51900
E88F18A2-14F8-482B-BA97-1944B16A2F40           51464
MEMORY                                         51445
do                                             51236
set                                            51127
The-New-Fuse                                   51119
stale                                          51031
are                                            50788
A1-Inter-LLM-Com                               50486
operational                                    50177
Date                                           50120
by                                             49570
push                                           49527
defineProperty                                 49095
an                                             48934
task                                           48905
try                                            48809
prototype                                      48351
sh                                             47747
AGENTS                                         47654
result                                         47647
system                                         46352
failures                                       46084
key                                            45738
ty                                             45708
scripts                                        45599
O                                              45391
B                                              45351
but                                            45310
M                                              44711
components                                     44695
catch                                          44495
metamask                                       44348
proposals                                      44248
span                                           44025
config                                         43634
was                                            43148
agents                                         42961
project                                        42802
