Originally a survey platform focused on high engagement and real-time results. Now acquired by QuestionPro and integrated into their Research Edition.	URL	Account email	Bought From	Email at Bought From	Plan Level	Cost
*vidproposals.com	vidproposals.com					Got a refund - still works
11sight.com			StackSocial account			$109.99
DEPRICATED-GONE-a1powertube	https://a1powertube.com/home/login					
DEPRICATED-GONE AlterStores Reseller - 500 Account Licenses	Alterstores.com					
DEPRICATED-GONE appgyve	https://platform.appgyver.com/					
ApproveMe.com	https://www.approveme.com/contracts/login/					free
DEPRICATED-GONE Auto Commissions Jacker Elite	https://autocommissionsjacker.com/auth/password/recover					13.99
DEPRICATED-GONE Autoblog Niche Profits DFY Bundle	http://paxtonmarketing.com/autoblog-niche-profits-dfy-bundle-download/					
DEPRICATED-AQUIRED Automizy	https://automizy.com/	owner@example.com,admin@bizsynth.com	saasmantra.com			
DEPRICATED- GONE BADASS BONUSES	https://live.digitaldames.net/badass-bonuses-membership-area1625742747940					
DEPRICATED - GONE bCast	https://app.bcast.fm/podcasts#					
bContent	https://www.bcontent.net/settings					
Berrycast						
DEPRICATED- GONE Beupify	https://beupify.com/dashboard					
Bit Form Agency LTD Subscription	https://subscription.bitapps.pro/wp/my-purchased					US$54.00
Biteplay Starter	https://app.biteplay.com/dashboard					$95.58
Bizplan	https://www.bizplan.com/account/products/bizplan					
BlockSurvey	https://blocksurvey.io/					199
Brindle Booking	https://mybrindle.com/my-account/					$21.87
DEPRICATED-GONE Bringie	https://app.bringie.com/dashboard					
bVoice - (Not sure if sign in is possible)	https://bvoice.reelapps.io/dashboard					
calendar.online	https://calendar.online/8e7987f1a81465a2d58b					76.2
chatrace	https://chatrace.com/en/me.php					$245
DEPRICATED- ClickAds	https://clickad.io/login					$47.00
Broken- ClientFinda	https://app.clientfinda.ai					
ClientJoy	https://app.clientjoy.io/auth/sign-in					$245
CliKitz	https://clikitzapp.com/login					
ClipsReel	https://app.clipsreel.io/					97
ClosersCopy - Not sure - maybe I refunded. I had another account though. 	https://www.closerscopy.com/dashboard					$169
CloudSquad	https://appcloudsquad.com/account					$17
ContactInBio	https://www.contactinbio.com/login.php					
DEPRICATED- GONE contentburger.io/login	https://go.contentburger.io/workspaces/					
Conversion Gorilla	https://conversiongorilla.com/members/user_login.php					
ConvertBox	https://app.convertbox.com/login	owner@example.com,admin@bizsynth.com,admin@marketreferral.com				$490.00
CopyMatic	https://app.copymatic.io/login/login.php					$33.00+$97.00
Copysmith	https://app.copysmith.ai/login/					
CopySmith	https://app.copysmith.ai/					
CourseReel	https://course.reelapps.io/my-account					
CrawlIQ	https://app.crawlq.ai/dashboard					
Crove.app	https://my.crove.app/billing					
Dashfrugal						
DashFrugal	https://www.dashfrugal.com/Company/CompanyHome					
Degoo Cloud	https://app.degoo.com/login?redirectUrl=%2Fmoments					
Deskera	https://www.deskera.com/signin?product=aio					$447.00
DFY Profitz	https://dfyprofitz.app/whodaniel/					
DfyLeadfunnel Reseller	https://reseller.dfyleadfunnel.com/,https://dfyleadfunnel.com/wp-signup.php?new=reseller&step=customer-info&cs=6110a1c4bdca39.15397813					
DIGITAL BILLBOARD APP - Full Suite + Additional Networks (Upgrade)	https://digitalbillboards.app/dashboard	owner@example.com,admin@bizsynth.com				$117.00
DigitalThink						
Docdown	https://app.docdown.io/documents					
DocsCloud	https://app.docscloud.io/login					
DooPoll	https://app.doopoll.co/					
DriveZPresso	https://drivezpresso.app/home/dashboard					12
Easybannerspro	https://app.easybannerspro.com/#/dashboard					
EcomSuite	https://ecomsuite.co/profile	bizappstack@bizsynth.com				
Encharge	https://app.encharge.io/	owner@example.com,admin@marketreferral.com,admin@referralmarket.net				
Eventee	https://admin.eventee.co/auth/login					$413.00
Explaindio	http://members.explaindio.com/account/member					
Ezy Multistores	https://ezymultistores.com/login					
FindThatLead	https://app.findthatlead.com/dashboard/search					
Flix	https://flixplatform.com/paid-videos?type=videos					17
Frase	https://app.frase.io/login					142
FunnelMates	https://funnelmates.com/login/					
Funnelvio Commercial	https://dashboard.kyvio.net/					
fyi.to	fyi.to					
geofencing.app	https://geofencing.app/login					$96.00 USD
GitScrum	https://gitscrum.com/					250
GPL PLUGINS CLUB	https://gplplugins.club/					
Grist	https://docs.getgrist.com/					
GroupCollector	https://app.groupcollector.com/login					
HaoWebinar Unlimited Reseller Pro						
heysummit	https://app.heysummit.com/accounts/login/					120
HostZPresso	https://us.hostzpresso.app:2222/					
hoversignal	https://app.hoversignal.com/Sites/13372/Code					
https://aryel.io/	https://aryel.io/	whodaniel,owner@example.com				
https://optinup.org/leadin/login.php	https://optinup.org/leadin/setting.php					
https://resumecats.com/	https://resumecats.com/					
ImagePanda	https://app.imagepanda.co/account/library					
InstantAgency Reseller	http://instantagency.co/register?ut=agencee					
KillerPlayer Ultimate: Lifetime Subscription			StackSocial account			89.99
killerplayer.com						
Kirim.email	https://member.kirim.email/					
LeadBlasta	https://app.leadblasta.com/app/main/dashboard					$89.10
Leaddelta	extension					$79.20
LeadFlow365	https://app.leadflow365.net/campaigns					
LeadScripts	https://app.leadscripts.co/home/start					$76.20
LeadsTunnel	https://app.leadstunnel.net/v1#/v1/campaigns					
LinkHelp	linkhelp.io					
Live Review Unlimited	https://livereviewplugin.com/thanks-jguelwtffp,https://masterylabs.com/my-products/live-review					19.98
Mailconversio - Whitelabel	https://app.mailconversio.com/login					250
MailerLink	https://mailerlinkapp.com/mailerlink-members-portal					17
Mailifier	https://app.mailifier.io/login					
marketro.com/in/member	http://account.marketro.com/in/member	http://account.marketro.com/content/optinup/				
Mighteee	https://mighteee.app/automation/notify/660					
MoolaMeme	https://www.moolameme.com/members/login.php					37+17.00+14.95
Moovly	https://www.moovly.com/login					37
NeverSpam by Allegrow	https://app.neverspam.io/	owner@example.com				
New Year Profit Bot	https://prbsites.com/user/index.php?cmd=home					
nichesss	https://nichesss.com/home?ft=1					$53.10
OFFEO			dealmirror.com	owner@example.com		
Olvy	https://app.olvy.co/login					
OmniBlaster Reseller	https://omniblaster.com/					
OneStream	https://app.onestream.live/plans					$80.19
Outranking	https://apps.outranking.io/login					refunded
Pabbly Subscriptions	https://payments.pabbly.com/app/					
pCloud Lifetime plan 2TB	https://my.pcloud.com/?label=Lifetime%20-%20successful%20payment#page=login					
Pictory	https://pictory.ai/					$233.10
PlayBook 4T	https://www.playbook.com/bizappstack/settings	bizynth@gmail.com,bizappstack@gmail.com				
Plutio	https://app.plutio.com/?__ca__chat=441sxjohuofq					
Poirot	https://system.poirot.app/	owner@example.com	saasmantra.com			117
postaga	https://app.postaga.com/					free
postpace	https://dashboard.postpace.com/users					
Predis.ai	Predis.ai					
PrimeMail	https://primemailapp.com/app/customer/index.php/templates/gallery					
Primemail Reseller	https://welcome.primemail.live/primemail-reseller-hsgy-hytgd43-snqaju-sr2r/					53.6
ProductDyno	https://warlord.productdyno.com/login					
ProfitWriter	https://write.serapisnow.com/aw/new					14.93
ProfiZBuddy	https://probuddy.toolzhub.live/dashboard					
PROGRAMMATIC TV APP - Full Suite + Additional Networks (Upgrade)	https://programmatictv.app/login	owner@example.com,admin@bizsynth.com				$117.00
RADAAR	https://dash.radaar.io/v2/?lang=en					$119.07
Rezi	https://app.rezi.ai/dashboard/resumes					
Ringless App - Full Suite	https://ringless.app/profile	owner@example.com,admin@bizsynth.com	https://www.zaxaa.com/purchases			$87.00 USD
Robinhood Crypto	https://robinhood.com/us/en/applink/crypto_collection					$20
RunTheWorld	https://www.runtheworld.today/app/dashboard					120.69
Saleshub	https://app.saleshub.ai/automations		saasmantra.com			98
ScriptReel	https://app.scriptreel.io/					
SendFox	https://sendfox.com/login					49
SendFox	https://sendfox.com/dashboard	admin@bizsynth.com				245
Sizzle	https://dashboard.sizle.io/s/0/presentations					29.99
SociGrow	https://login.socigrow.live/igram/hdphotos					
Sqribble	https://sqribble.net					
Squirrly SEO	https://cloud.squirrly.co/user/plans					120
Startups Unl	https://www.startups.com/unlimited?prompt=login					
Storey Pro	https://www.meetstorey.com/login					
Studio Cart	https://users.freemius.com/store/2224/websites					167
studioninja.club	studioninja.club					
SupportChamp	https://app.supportchamp.io/app/login	admin@fineproductsandservices.com,owner@example.com,admin@bizsynth.com,admin@eventsynth.net				
SurveySensum	https://portal.surveysensum.com/workspace/settings/subscription/plan					0
Switchy.io	Switchy.io					$175.50
